,F2,F4,F5,F9,F12,F13,F15,F17,F18,F20
933,1,12,12,30.057134,0.0,0.0,0.0,0.539157,0.129272,1
934,0,86,85,10.61221,0.009386,0.0,0.0,0.52834,0.087601,0
935,0,2,2,44.217416,0.109176,0.007142,0.0,0.546157,0.113258,0
936,1,55,54,13.526397,0.074024,0.0,0.0,0.518191,0.135711,0
937,1,12,11,52.843779,0.818891,0.007229,0.0,0.511266,0.119787,1
938,1,43,42,13.685203,0.010879,0.0,0.0,0.506338,0.130542,1
939,1,6,6,142.251289,1.604178,0.001039,0.0,0.546352,0.164158,0
940,1,7,6,6.246874,0.0,0.0,0.0,0.526939,0.125207,1
941,1,61,61,25.678591,0.39765,0.020115,0.0,0.534283,0.083553,1
942,1,60,59,46.781501,0.293541,0.108549,0.0,0.507493,0.099376,1
943,1,50,48,49.422613,0.326036,0.001567,0.0,0.481377,0.126966,1
944,1,60,60,34.006652,0.290209,0.0,0.0,0.54155,0.112091,0
945,1,72,71,16.588252,0.909444,0.197705,0.007908,0.550922,0.094898,1
946,1,75,74,67.496987,1.233002,0.117211,0.0,0.517109,0.115689,1
947,1,20,20,4.580221,0.070369,0.028147,0.01251,0.514281,0.142301,0
948,1,53,52,30.859527,0.753205,0.075008,0.0,0.512783,0.087509,0
949,1,30,27,103.426152,2.341309,0.388909,0.104102,0.51521,0.125708,0
950,1,49,38,118.942013,1.566272,0.061442,0.001007,0.485307,0.10979,1
951,1,11,11,91.00426,0.748689,0.012174,0.004058,0.543036,0.100434,0
952,1,67,65,34.260055,1.6064,0.299262,0.0,0.493708,0.128698,1
953,1,25,25,162.177733,3.141617,0.33189,0.0,0.485196,0.109256,0
954,1,33,33,23.087891,0.140808,0.013775,0.0,0.492785,0.122442,0
955,1,93,88,47.774853,2.831327,0.980658,0.548683,0.469762,0.110646,1
956,1,29,24,51.114355,0.474459,0.168928,0.062566,0.533062,0.141816,1
957,1,58,54,39.580226,1.404887,0.181773,0.003081,0.478967,0.129397,0
958,1,41,41,8.258509,0.0,0.0,0.0,0.538324,0.103212,1
959,1,50,50,41.211069,0.189789,0.02056,0.0,0.504492,0.113873,0
960,1,17,17,31.075926,1.531685,0.213312,0.002081,0.535149,0.092609,0
961,1,54,53,42.826907,0.47868,0.0,0.0,0.52017,0.076903,1
962,1,16,16,88.449152,0.732146,0.004914,0.004914,0.510628,0.110068,0
963,1,94,84,98.954807,4.521687,0.459495,0.024074,0.492341,0.124556,1
964,1,46,45,9.150569,0.14141,0.001521,0.0,0.486841,0.106437,1
965,0,1,1,179.838974,0.161074,0.0,0.0,0.497545,0.113159,0
966,1,16,16,64.346183,0.801629,0.0,0.0,0.497534,0.107435,0
967,1,60,56,20.68162,0.135184,0.0,0.0,0.559707,0.101768,1
968,1,10,10,124.588636,0.678461,0.0,0.0,0.505572,0.102735,0
969,1,19,19,156.06893,1.648358,0.021662,0.0,0.553926,0.127908,1
970,1,85,81,33.500085,0.271119,0.070861,0.004621,0.551878,0.087805,1
971,1,15,15,120.571666,1.018466,0.035789,0.0,0.558516,0.101233,0
972,1,2,2,28.964026,0.009117,0.0,0.0,0.539285,0.107383,0
973,1,23,22,111.635564,7.681384,0.624669,0.01024,0.542657,0.093188,0
974,1,34,32,18.226436,0.0,0.0,0.0,0.50135,0.147086,1
975,1,54,50,219.648532,18.177068,2.113973,0.0,0.533368,0.094069,1
976,1,20,17,133.583241,1.972521,0.183782,0.0,0.499141,0.095024,1
977,1,55,45,151.05963,25.911411,16.426327,3.525199,0.44968,0.07381,1
978,1,67,64,114.716407,10.833246,5.925798,1.628527,0.487897,0.138487,1
979,1,82,81,25.343647,0.344242,0.134906,0.012405,0.521347,0.099241,1
980,0,30,30,33.810998,0.823657,0.100646,0.0,0.520918,0.127348,1
981,1,20,20,118.897736,3.981048,0.258623,0.000969,0.524227,0.128827,0
982,1,47,47,28.145785,0.072987,0.022809,0.0,0.538285,0.109481,0
983,1,9,9,245.663252,10.618531,0.187801,0.006225,0.530168,0.097532,0
984,1,80,78,31.493032,0.452128,0.003118,0.0,0.568194,0.101339,1
985,1,16,13,210.819039,8.032076,0.033286,0.0,0.553325,0.084729,1
986,1,10,9,67.01964,3.554195,0.270339,0.0,0.553423,0.100995,0
987,1,77,76,15.871188,0.06815,0.001549,0.0,0.567241,0.091383,1
988,1,6,6,138.497561,1.578326,0.0,0.0,0.493654,0.120552,0
989,1,58,56,15.940036,0.030946,0.0,0.0,0.569273,0.117593,1
990,1,61,53,108.561508,5.192108,2.950617,0.686711,0.494633,0.133471,1
991,1,6,6,112.782847,0.004105,0.0,0.0,0.516888,0.096467,0
992,1,37,36,15.609862,0.006142,0.0,0.0,0.49121,0.107485,1
993,1,49,47,8.676455,0.03363,0.003057,0.0,0.542262,0.116175,1
994,1,12,11,31.194506,0.005768,0.003845,0.003845,0.503921,0.105751,0
995,1,14,13,98.756441,2.54967,0.415654,0.000978,0.534122,0.094867,1
996,1,10,10,34.450206,0.077418,0.005806,0.003871,0.548232,0.116128,0
997,1,11,11,66.659286,0.006698,0.001914,0.001914,0.525879,0.094723,1
998,1,15,12,48.567233,1.464884,0.02433,0.0,0.557776,0.100362,1
999,1,53,52,21.371186,0.525102,0.049567,0.0,0.540771,0.108428,0
1000,1,31,28,52.805279,2.395844,1.124092,0.217331,0.555322,0.115425,1
1001,1,76,74,61.559348,2.045287,0.038016,0.0,0.527993,0.101884,1
1002,1,4,4,169.09982,4.141645,0.0,0.0,0.561594,0.103021,0
1003,0,8,8,87.943106,1.136672,0.040814,0.0,0.491819,0.118361,0
1004,0,6,6,276.491407,2.821299,0.022399,0.001018,0.47478,0.067198,1
1005,0,17,17,59.655889,0.739028,0.067801,0.0,0.479596,0.123978,1
1006,0,28,26,38.812879,15.172345,12.584615,0.0,0.566874,0.080835,1
1007,1,35,34,16.740482,0.0,0.0,0.0,0.478857,0.111161,0
1008,1,84,78,20.384375,6.674239,5.694161,2.71322,0.521502,0.104897,1
1009,1,43,43,69.952496,0.35733,0.0,0.0,0.483614,0.137315,0
1010,1,46,42,44.914316,4.828371,3.567413,1.42717,0.518726,0.108756,1
1011,1,31,28,74.12034,0.167466,0.0,0.0,0.504309,0.110629,1
1012,1,41,41,9.85609,0.0,0.0,0.0,0.523321,0.122416,0
1013,1,90,83,23.181784,2.201438,1.482793,0.972838,0.542757,0.119251,1
1014,1,62,62,55.050124,2.426668,0.169267,0.0,0.494945,0.104638,0
1015,1,72,68,37.869355,0.492867,0.024567,0.0,0.555577,0.128974,1
1016,1,5,5,75.225002,0.068243,0.0,0.0,0.561342,0.094092,0
1017,1,68,67,34.757253,1.338771,0.450873,0.066169,0.500307,0.135416,0
1018,1,62,61,39.929102,0.867528,0.132412,0.016742,0.537726,0.097407,0
1019,1,49,48,65.456031,2.341426,0.133353,0.0,0.575261,0.117847,0
1020,0,13,13,60.080491,0.139942,0.00386,0.0,0.526958,0.108093,0
1021,1,14,13,41.710781,0.064622,0.008553,0.006652,0.50477,0.114039,0
1022,1,13,13,26.112868,0.202741,0.002038,0.0,0.529958,0.097805,0
1023,1,42,42,12.255884,0.044871,0.0,0.0,0.478333,0.116045,1
1024,1,47,45,64.520618,4.110677,0.76606,0.0,0.515569,0.087331,1
1025,0,54,54,57.387431,5.78913,1.916517,0.123303,0.549312,0.101991,0
1026,1,2,1,51.24685,0.468709,0.013132,0.0,0.481214,0.112126,0
1027,1,79,78,21.415656,0.238819,0.118629,0.0,0.535719,0.071802,1
1028,1,14,12,39.081534,0.022962,0.0,0.0,0.516245,0.114811,0
1029,1,80,78,51.59135,2.006723,0.261063,0.0,0.569794,0.138395,0
1030,1,95,89,19.808769,0.290891,0.10322,0.03597,0.526014,0.109475,1
1031,1,7,7,2.941371,0.0,0.0,0.0,0.528718,0.177937,0
1032,1,51,50,25.338479,0.013834,0.004611,0.0,0.513695,0.086081,1
1033,1,10,10,153.031271,0.99796,0.0666,0.022894,0.569537,0.089494,1
1034,1,48,47,45.319439,1.389591,0.807902,0.007694,0.4896,0.10772,1
1035,1,37,34,86.175127,2.929168,0.243141,0.010435,0.523246,0.121049,1
1036,1,64,64,18.887851,0.050005,0.0,0.0,0.525446,0.106261,0
1037,1,13,9,180.743438,43.284476,33.69422,5.937799,0.48047,0.087937,1
1038,1,64,61,27.957384,0.438072,0.010874,0.0,0.510782,0.116509,0
1039,1,15,15,53.4173,0.087955,0.003953,0.003953,0.506543,0.092896,0
1040,1,32,31,64.817712,0.275237,0.0232,0.006327,0.592217,0.114946,0
1041,1,58,56,13.198263,0.0,0.0,0.0,0.530613,0.148864,1
1042,1,49,49,30.990775,0.589399,0.123682,0.0,0.506254,0.099251,0
1043,1,29,29,63.84635,0.489849,0.004099,0.0,0.51446,0.103504,1
1044,1,18,18,22.320425,0.044193,0.007686,0.0,0.570065,0.090308,0
1045,1,24,21,112.316034,2.053484,0.317197,0.036112,0.522596,0.101503,0
1046,1,32,31,56.446038,0.534603,0.093824,0.003909,0.497352,0.11728,0
1047,1,24,20,108.208273,1.987893,0.13926,0.0,0.485771,0.130434,0
1048,1,33,29,136.667753,2.721685,1.144461,0.434813,0.572963,0.083066,1
1049,1,54,52,49.592107,2.734836,0.510769,0.0,0.480885,0.095098,0
1050,1,40,40,19.74204,0.167736,0.073865,0.006155,0.519802,0.124648,0
1051,0,52,48,33.640107,0.36194,0.15047,0.067101,0.547091,0.140303,1
1052,1,34,31,142.123907,11.695025,0.059928,0.0,0.519988,0.082273,0
1053,1,46,42,33.786733,3.236234,1.412156,0.374196,0.568793,0.092784,1
1054,1,17,16,236.22046,14.579643,0.072672,0.0,0.485424,0.10508,0
1055,1,61,56,109.396144,28.604893,24.396715,3.374376,0.50387,0.09379,1
1056,1,42,41,75.547942,6.493377,2.174345,0.053071,0.50883,0.112385,0
1057,1,13,13,95.760546,2.596642,0.035371,0.0,0.531898,0.115476,0
1058,1,9,8,10.429941,0.001008,0.0,0.0,0.485566,0.126998,1
1059,0,13,13,90.996455,0.148244,0.004089,0.0,0.511026,0.121663,1
1060,1,33,30,9.795567,0.130112,0.020136,0.007745,0.509198,0.113073,1
1061,1,32,30,168.945684,1.861005,0.336129,0.019471,0.508699,0.108627,1
1062,1,46,43,57.270849,9.986499,8.13922,0.023829,0.542932,0.102569,1
1063,1,24,24,140.834092,2.791203,0.088563,0.0,0.488528,0.107055,0
1064,1,25,24,61.058821,0.684534,0.043151,0.003923,0.578574,0.077476,0
1065,1,41,40,42.680788,1.262553,0.052606,0.0,0.535716,0.100571,0
1066,1,47,45,142.201444,59.766121,51.423208,3.739609,0.367762,0.082989,1
1067,1,68,59,77.934319,3.481102,1.354816,0.216581,0.523988,0.156507,1
1068,1,32,32,19.273924,0.317728,0.0,0.0,0.521133,0.137059,0
1069,1,15,15,121.493968,1.476767,0.024644,0.0,0.4803,0.091943,0
1070,1,15,14,71.522807,0.43874,0.019522,0.0,0.53078,0.114052,0
1071,1,8,7,159.043311,4.774551,0.001019,0.0,0.502323,0.113146,1
1072,1,13,13,189.540803,1.212168,0.050761,0.0,0.530857,0.125887,1
1073,1,9,9,79.111789,0.661015,0.009678,0.003871,0.485949,0.103556,0
1074,1,13,12,28.454272,0.571066,0.049006,0.0,0.547444,0.094011,1
1075,1,39,38,19.162652,0.571997,0.311166,0.253204,0.543686,0.118975,1
1076,1,43,35,202.64205,0.191951,0.0,0.0,0.531996,0.143963,1
1077,1,132,113,32.693694,0.043257,0.0,0.0,0.588851,0.085459,1
1078,1,56,56,74.070073,5.237865,0.859218,0.0,0.512019,0.111607,0
1079,1,28,25,90.47914,3.508139,0.636091,0.004058,0.522802,0.140001,1
1080,0,89,72,143.996532,14.958678,7.730844,1.4774,0.523424,0.10101,1
1081,1,5,5,142.490452,1.90205,0.0,0.0,0.487361,0.117081,0
1082,1,18,17,53.56808,0.518398,0.004863,0.000973,0.527151,0.104069,0
1083,1,14,13,47.405792,0.176841,0.0,0.0,0.538302,0.086364,0
1084,0,12,12,24.311596,2.433764,1.965918,0.0,0.482594,0.123473,1
1085,1,20,19,107.720344,2.018374,0.241474,0.000962,0.515494,0.090432,0
1086,1,21,18,229.864652,14.914607,0.005772,0.00481,0.518789,0.088508,1
1087,1,37,36,15.592992,0.037932,0.0,0.0,0.516951,0.194211,0
1088,1,12,12,18.722879,0.068661,0.0,0.0,0.557983,0.09838,0
1089,1,40,39,42.769066,0.026245,0.0,0.0,0.503875,0.12042,0
1090,1,46,46,36.722877,0.012389,0.0,0.0,0.524239,0.13628,0
1091,1,5,5,46.16348,0.195177,0.020763,0.002076,0.538452,0.132886,0
1092,1,58,57,95.245437,3.786792,0.05912,0.0,0.538917,0.08868,0
1093,1,27,26,148.549839,5.742994,0.271292,0.000976,0.514295,0.107346,1
1094,0,31,31,14.395974,0.0,0.0,0.0,0.529554,0.126749,0
1095,1,34,34,136.285159,5.11411,0.307383,0.0,0.523087,0.129967,0
1096,1,63,63,22.276818,0.056869,0.0,0.0,0.565797,0.127955,0
1097,1,66,64,24.527303,0.22001,0.0,0.0,0.519806,0.122902,1
1098,0,51,51,50.056899,3.966491,0.615141,0.035818,0.528051,0.133929,0
1099,1,12,11,189.598986,2.869407,0.421728,0.002067,0.574457,0.102331,0
1100,1,49,49,25.949651,0.003122,0.0,0.0,0.507111,0.126431,1
1101,1,11,11,25.106994,0.420954,0.081309,0.0,0.481566,0.10704,0
1102,1,19,19,19.846426,0.025508,0.004905,0.003924,0.549585,0.140296,0
1103,1,3,3,145.210992,4.212897,0.182014,0.00409,0.524631,0.106345,0
1104,1,16,16,95.221907,2.48748,0.235865,0.023785,0.500366,0.09613,0
1105,1,42,42,19.275694,0.371328,0.106094,0.013641,0.515813,0.090937,0
1106,1,58,58,18.925093,0.330337,0.063936,0.004567,0.543653,0.089815,1
1107,1,8,8,81.845323,0.996536,0.024,0.001043,0.530505,0.082436,1
1108,1,53,52,20.535066,0.033599,0.0,0.0,0.541907,0.085525,1
1109,1,41,40,30.225705,1.092476,0.352665,0.0,0.570018,0.109718,1
1110,1,60,57,13.457443,0.238998,0.0,0.0,0.510048,0.119499,1
1111,1,39,38,36.535551,2.558689,1.029322,0.0,0.521911,0.147705,0
1112,1,65,61,261.647562,15.577731,4.30462,0.090921,0.572939,0.098236,1
1113,0,55,55,15.933947,0.061946,0.0,0.0,0.540794,0.103759,1
1114,1,62,57,95.232668,13.241118,9.436416,0.637256,0.583103,0.114057,1
1115,1,89,81,15.296399,2.96887,2.45115,0.042761,0.5299,0.111485,1
1116,1,62,60,64.037903,0.295055,0.0,0.0,0.53361,0.102014,0
1117,1,26,26,17.562482,0.124827,0.0,0.0,0.5286,0.106559,0
1118,1,8,8,41.501949,0.13998,0.010293,0.0,0.569435,0.096751,0
1119,0,22,20,131.077221,3.161361,0.044599,0.001037,0.486577,0.115128,1
1120,1,6,6,156.264592,2.517905,0.251276,0.0,0.543301,0.131817,0
1121,1,75,75,15.259422,0.185719,0.03958,0.0,0.535677,0.118739,1
1122,1,30,29,140.39952,3.045977,0.043178,0.003925,0.506181,0.095187,0
1123,1,3,3,26.240091,0.107202,0.0,0.0,0.480484,0.113328,0
1124,1,24,24,83.135316,1.663975,0.066478,0.0,0.476429,0.13195,1
1125,1,10,10,40.641723,0.39985,0.0,0.0,0.549111,0.120162,0
1126,1,4,4,118.036826,0.725415,0.003959,0.003959,0.508743,0.105893,0
1127,1,21,18,35.347026,0.247955,0.191132,0.139475,0.494143,0.099182,1
1128,1,21,21,5.121229,0.0,0.0,0.0,0.4765,0.073226,1
1129,1,39,36,96.385981,0.641116,0.242004,0.072211,0.487241,0.084897,1
1130,1,36,33,37.686807,0.184896,0.024986,0.0,0.535271,0.093947,1
1131,1,46,46,26.839906,0.316836,0.109734,0.0,0.520977,0.095824,1
1132,1,84,83,24.226598,0.165296,0.009183,0.003061,0.537999,0.097953,1
1133,1,54,54,8.804178,0.0,0.0,0.0,0.529728,0.100565,1
1134,1,71,69,159.904908,16.562221,8.562842,2.191362,0.530547,0.127006,1
1135,1,16,16,182.410841,3.303264,0.344026,0.01957,0.514502,0.104032,0
1136,1,60,48,159.723711,1.644218,0.248323,0.065515,0.558896,0.12786,1
1137,1,30,30,23.736589,0.072721,0.015473,0.0,0.516223,0.120687,1
1138,1,3,3,22.266376,0.063583,0.007179,0.0,0.513383,0.106655,1
1139,1,12,10,51.440209,0.312865,0.0,0.0,0.520232,0.100426,1
1140,1,31,31,22.404714,0.100579,0.0,0.0,0.55572,0.109722,1
1141,1,53,52,8.63201,0.290335,0.16546,0.085852,0.551013,0.087413,1
1142,1,53,51,25.283836,0.036805,0.0,0.0,0.471802,0.141088,0
1143,1,12,10,243.066702,0.099581,0.002075,0.0,0.553246,0.084022,1
1144,1,34,33,2.579859,0.0,0.0,0.0,0.537551,0.124181,0
1145,1,16,15,158.177307,11.283321,1.857293,0.006832,0.533177,0.10443,0
1146,1,34,34,6.071765,0.003115,0.0,0.0,0.53747,0.116795,0
1147,1,49,49,63.197145,0.979548,0.001552,0.0,0.516733,0.12419,0
1148,0,48,48,30.461898,0.137858,0.011221,0.0,0.560632,0.129843,0
1149,1,36,29,40.525739,1.07757,0.563518,0.239568,0.485972,0.10669,1
1150,1,7,7,69.423565,0.046597,0.02118,0.0,0.556192,0.088957,0
